time,people_count
2024-10-28 17:00:00,0
2024-10-28 17:01:00,0
2024-10-28 17:02:00,0
2024-10-28 17:03:00,5
2024-10-28 17:04:00,9
2024-10-28 17:05:00,14
2024-10-28 17:06:00,19
2024-10-28 17:07:00,25
2024-10-28 17:08:00,29
2024-10-28 17:09:00,36
2024-10-28 17:10:00,42
2024-10-28 17:11:00,44
2024-10-28 17:12:00,45
2024-10-28 17:13:00,48
2024-10-28 17:14:00,52
2024-10-28 17:15:00,56
2024-10-28 17:16:00,57
2024-10-28 17:17:00,64
2024-10-28 17:18:00,66
2024-10-28 17:19:00,68
2024-10-28 17:20:00,64
2024-10-28 17:21:00,66
2024-10-28 17:22:00,70
2024-10-28 17:23:00,70
2024-10-28 17:24:00,71
2024-10-28 17:25:00,69
2024-10-28 17:26:00,68
2024-10-28 17:27:00,67
2024-10-28 17:28:00,65
2024-10-28 17:29:00,65
2024-10-28 17:30:00,65
2024-10-28 17:31:00,65
2024-10-28 17:32:00,67
2024-10-28 17:33:00,66
2024-10-28 17:34:00,63
2024-10-28 17:35:00,62
2024-10-28 17:36:00,65
2024-10-28 17:37:00,66
2024-10-28 17:38:00,67
2024-10-28 17:39:00,67
2024-10-28 17:40:00,64
2024-10-28 17:41:00,67
2024-10-28 17:42:00,72
2024-10-28 17:43:00,75
2024-10-28 17:44:00,74
2024-10-28 17:45:00,74
2024-10-28 17:46:00,78
2024-10-28 17:47:00,82
2024-10-28 17:48:00,85
2024-10-28 17:49:00,89
2024-10-28 17:50:00,97
2024-10-28 17:51:00,98
2024-10-28 17:52:00,104
2024-10-28 17:53:00,109
2024-10-28 17:54:00,115
2024-10-28 17:55:00,120
2024-10-28 17:56:00,124
2024-10-28 17:57:00,125
2024-10-28 17:58:00,121
2024-10-28 17:59:00,130
2024-10-28 18:00:00,133
2024-10-28 18:01:00,135
2024-10-28 18:02:00,138
2024-10-28 18:03:00,142
2024-10-28 18:04:00,147
2024-10-28 18:05:00,152
2024-10-28 18:06:00,152
2024-10-28 18:07:00,157
2024-10-28 18:08:00,159
2024-10-28 18:09:00,163
2024-10-28 18:10:00,167
2024-10-28 18:11:00,173
2024-10-28 18:12:00,177
2024-10-28 18:13:00,179
2024-10-28 18:14:00,187
2024-10-28 18:15:00,190
2024-10-28 18:16:00,194
2024-10-28 18:17:00,197
2024-10-28 18:18:00,202
2024-10-28 18:19:00,205
2024-10-28 18:20:00,202
2024-10-28 18:21:00,204
2024-10-28 18:22:00,197
2024-10-28 18:23:00,195
2024-10-28 18:24:00,200
2024-10-28 18:25:00,197
2024-10-28 18:26:00,192
2024-10-28 18:27:00,192
2024-10-28 18:28:00,193
2024-10-28 18:29:00,191
2024-10-28 18:30:00,192
2024-10-28 18:31:00,186
2024-10-28 18:32:00,183
2024-10-28 18:33:00,183
2024-10-28 18:34:00,183
2024-10-28 18:35:00,178
2024-10-28 18:36:00,175
2024-10-28 18:37:00,168
2024-10-28 18:38:00,165
2024-10-28 18:39:00,165
2024-10-28 18:40:00,162
2024-10-28 18:41:00,160
2024-10-28 18:42:00,159
2024-10-28 18:43:00,157
2024-10-28 18:44:00,158
2024-10-28 18:45:00,153
2024-10-28 18:46:00,149
2024-10-28 18:47:00,152
2024-10-28 18:48:00,152
2024-10-28 18:49:00,150
2024-10-28 18:50:00,151
2024-10-28 18:51:00,157
2024-10-28 18:52:00,159
2024-10-28 18:53:00,158
2024-10-28 18:54:00,155
2024-10-28 18:55:00,155
2024-10-28 18:56:00,159
2024-10-28 18:57:00,158
2024-10-28 18:58:00,159
2024-10-28 18:59:00,157
2024-10-28 19:00:00,155
2024-10-28 19:01:00,149
2024-10-28 19:02:00,137
2024-10-28 19:03:00,136
2024-10-28 19:04:00,134
2024-10-28 19:05:00,133
2024-10-28 19:06:00,127
2024-10-28 19:07:00,131
2024-10-28 19:08:00,134
2024-10-28 19:09:00,132
2024-10-28 19:10:00,129
2024-10-28 19:11:00,128
2024-10-28 19:12:00,126
2024-10-28 19:13:00,118
2024-10-28 19:14:00,113
2024-10-28 19:15:00,114
2024-10-28 19:16:00,118
2024-10-28 19:17:00,119
2024-10-28 19:18:00,120
2024-10-28 19:19:00,117
2024-10-28 19:20:00,112
2024-10-28 19:21:00,107
2024-10-28 19:22:00,100
2024-10-28 19:23:00,97
2024-10-28 19:24:00,96
2024-10-28 19:25:00,97
2024-10-28 19:26:00,95
2024-10-28 19:27:00,98
2024-10-28 19:28:00,97
2024-10-28 19:29:00,95
2024-10-28 19:30:00,91
2024-10-28 19:31:00,90
2024-10-28 19:32:00,91
2024-10-28 19:33:00,86
2024-10-28 19:34:00,88
2024-10-28 19:35:00,90
2024-10-28 19:36:00,92
2024-10-28 19:37:00,94
2024-10-28 19:38:00,92
2024-10-28 19:39:00,92
2024-10-28 19:40:00,90
2024-10-28 19:41:00,88
2024-10-28 19:42:00,88
2024-10-28 19:43:00,87
2024-10-28 19:44:00,87
2024-10-28 19:45:00,87
2024-10-28 19:46:00,87
2024-10-28 19:47:00,83
2024-10-28 19:48:00,83
2024-10-28 19:49:00,83
2024-10-28 19:50:00,79
2024-10-28 19:51:00,76
2024-10-28 19:52:00,76
2024-10-28 19:53:00,69
2024-10-28 19:54:00,68
2024-10-28 19:55:00,66
2024-10-28 19:56:00,64
2024-10-28 19:57:00,60
2024-10-28 19:58:00,49
2024-10-28 19:59:00,43
2024-10-28 20:00:00,43
